frameID,d0,d1,d2,d3
0,100.0,447.21,668.21,399.22
1,105.0,445.0,663.71,396.29
2,110.0,442.83,659.21,393.4
3,115.0,440.71,654.73,390.54
4,120.0,438.63,650.25,387.74
5,125.0,436.61,645.78,384.97
6,130.0,434.63,641.31,382.26
7,135.0,432.7,636.86,379.59
8,140.0,430.81,632.41,376.96
9,145.0,428.98,627.97,374.39
10,150.0,427.2,623.54,371.86
11,155.0,425.47,619.12,369.38
12,160.0,423.79,614.71,366.96
13,165.0,422.17,610.3,364.59
14,170.0,420.59,605.91,362.27
15,175.0,419.08,601.52,360.01
16,180.0,417.61,597.15,357.8
17,185.0,416.2,592.78,355.65
18,190.0,414.85,588.43,353.55
19,195.0,413.55,584.08,351.52
20,200.0,412.31,579.74,349.54
21,205.0,411.13,575.42,347.63
22,210.0,410.0,571.11,345.77
23,215.0,408.93,566.81,343.98
24,220.0,407.92,562.52,342.26
25,225.0,406.97,558.24,340.6
26,230.0,406.08,553.97,339.0
27,235.0,405.25,549.72,337.47
28,240.0,404.47,545.48,336.01
29,245.0,403.76,541.25,334.61
30,250.0,403.11,537.03,333.29
31,255.0,402.52,532.83,332.03
32,260.0,402.0,528.64,330.85
33,265.0,401.53,524.47,329.73
34,270.0,401.12,520.31,328.69
35,275.0,400.78,516.17,327.73
36,280.0,400.5,512.04,326.83
37,285.0,400.28,507.93,326.01
38,290.0,400.12,503.83,325.27
39,295.0,400.03,499.75,324.6
40,300.0,400.0,495.69,324.01
41,305.0,400.03,491.64,323.49
42,310.0,400.12,487.61,323.05
43,315.0,400.28,483.6,322.68
44,320.0,400.5,479.61,322.4
45,325.0,400.78,475.64,322.19
46,330.0,401.12,471.68,322.06
47,335.0,401.53,467.75,322.0
48,340.0,402.0,463.84,322.02
49,345.0,402.52,459.94,322.13
50,350.0,403.11,456.07,322.3
51,355.0,403.76,452.23,322.56
52,360.0,404.47,448.4,322.89
53,365.0,405.25,444.6,323.3
54,370.0,406.08,440.82,323.79
55,375.0,406.97,437.07,324.35
56,380.0,407.92,433.34,324.99
57,385.0,408.93,429.64,325.71
58,390.0,410.0,425.96,326.5
59,395.0,411.13,422.31,327.36
60,400.0,412.31,418.69,328.3
61,405.0,413.55,415.1,329.31
62,410.0,414.85,411.54,330.39
63,415.0,416.2,408.01,331.55
64,420.0,417.61,404.5,332.78
65,425.0,419.08,401.03,334.07
66,430.0,420.59,397.6,335.44
67,435.0,422.17,394.19,336.88
68,440.0,423.79,390.82,338.38
69,445.0,425.47,387.49,339.95
70,450.0,427.2,384.19,341.58
71,455.0,428.98,380.93,343.29
72,460.0,430.81,377.71,345.05
73,465.0,432.7,374.53,346.88
74,470.0,434.63,371.38,348.77
75,475.0,436.61,368.28,350.72
76,480.0,438.63,365.22,352.73
77,485.0,440.71,362.2,354.8
78,490.0,442.83,359.23,356.93
79,495.0,445.0,356.3,359.12
80,500.0,447.21,353.42,361.36
81,505.0,449.47,350.58,363.66
82,510.0,451.77,347.8,366.01
83,515.0,454.12,345.06,368.41
84,520.0,456.51,342.38,370.86
85,525.0,458.94,339.75,373.37
86,530.0,461.41,337.17,375.93
87,535.0,463.92,334.65,378.53
88,540.0,466.48,332.18,381.18
89,545.0,469.07,329.77,383.88
90,550.0,471.7,327.42,386.63
91,555.0,474.37,325.13,389.42
92,560.0,477.07,322.9,392.25
93,565.0,479.82,320.73,395.13
94,570.0,482.6,318.63,398.05
95,575.0,485.41,316.59,401.0
96,580.0,488.26,314.62,404.0
97,585.0,491.15,312.71,407.04
98,590.0,494.06,310.88,410.12
99,595.0,497.02,309.11,413.24
100,600.0,500.0,307.42,416.39
