camera,frame0,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60,frame61,frame62,frame63,frame64,frame65,frame66,frame67,frame68,frame69,frame70,frame71,frame72,frame73,frame74,frame75,frame76,frame77,frame78,frame79,frame80,frame81,frame82,frame83,frame84,frame85,frame86,frame87,frame88,frame89,frame90,frame91,frame92,frame93,frame94,frame95,frame96,frame97,frame98,frame99,frame100
camera0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0,150.0,155.0,160.0,165.0,170.0,175.0,180.0,185.0,190.0,195.0,200.0,205.0,210.0,215.0,220.0,225.0,230.0,235.0,240.0,245.0,250.0,255.0,260.0,265.0,270.0,275.0,280.0,285.0,290.0,295.0,300.0,305.0,310.0,315.0,320.0,325.0,330.0,335.0,340.0,345.0,350.0,355.0,360.0,365.0,370.0,375.0,380.0,385.0,390.0,395.0,400.0,405.0,410.0,415.0,420.0,425.0,430.0,435.0,440.0,445.0,450.0,455.0,460.0,465.0,470.0,475.0,480.0,485.0,490.0,495.0,500.0,505.0,510.0,515.0,520.0,525.0,530.0,535.0,540.0,545.0,550.0,555.0,560.0,565.0,570.0,575.0,580.0,585.0,590.0,595.0,600.0
camera1,447.21,445.0,442.83,440.71,438.63,436.61,434.63,432.7,430.81,428.98,427.2,425.47,423.79,422.17,420.59,419.08,417.61,416.2,414.85,413.55,412.31,411.13,410.0,408.93,407.92,406.97,406.08,405.25,404.47,403.76,403.11,402.52,402.0,401.53,401.12,400.78,400.5,400.28,400.12,400.03,400.0,400.03,400.12,400.28,400.5,400.78,401.12,401.53,402.0,402.52,403.11,403.76,404.47,405.25,406.08,406.97,407.92,408.93,410.0,411.13,412.31,413.55,414.85,416.2,417.61,419.08,420.59,422.17,423.79,425.47,427.2,428.98,430.81,432.7,434.63,436.61,438.63,440.71,442.83,445.0,447.21,449.47,451.77,454.12,456.51,458.94,461.41,463.92,466.48,469.07,471.7,474.37,477.07,479.82,482.6,485.41,488.26,491.15,494.06,497.02,500.0
camera2,668.21,663.71,659.21,654.73,650.25,645.78,641.31,636.86,632.41,627.97,623.54,619.12,614.71,610.3,605.91,601.52,597.15,592.78,588.43,584.08,579.74,575.42,571.11,566.81,562.52,558.24,553.97,549.72,545.48,541.25,537.03,532.83,528.64,524.47,520.31,516.17,512.04,507.93,503.83,499.75,495.69,491.64,487.61,483.6,479.61,475.64,471.68,467.75,463.84,459.94,456.07,452.23,448.4,444.6,440.82,437.07,433.34,429.64,425.96,422.31,418.69,415.1,411.54,408.01,404.5,401.03,397.6,394.19,390.82,387.49,384.19,380.93,377.71,374.53,371.38,368.28,365.22,362.2,359.23,356.3,353.42,350.58,347.8,345.06,342.38,339.75,337.17,334.65,332.18,329.77,327.42,325.13,322.9,320.73,318.63,316.59,314.62,312.71,310.88,309.11,307.42
camera3,399.22,396.29,393.4,390.54,387.74,384.97,382.26,379.59,376.96,374.39,371.86,369.38,366.96,364.59,362.27,360.01,357.8,355.65,353.55,351.52,349.54,347.63,345.77,343.98,342.26,340.6,339.0,337.47,336.01,334.61,333.29,332.03,330.85,329.73,328.69,327.73,326.83,326.01,325.27,324.6,324.01,323.49,323.05,322.68,322.4,322.19,322.06,322.0,322.02,322.13,322.3,322.56,322.89,323.3,323.79,324.35,324.99,325.71,326.5,327.36,328.3,329.31,330.39,331.55,332.78,334.07,335.44,336.88,338.38,339.95,341.58,343.29,345.05,346.88,348.77,350.72,352.73,354.8,356.93,359.12,361.36,363.66,366.01,368.41,370.86,373.37,375.93,378.53,381.18,383.88,386.63,389.42,392.25,395.13,398.05,401.0,404.0,407.04,410.12,413.24,416.39
