camera,frame0,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60,frame61,frame62,frame63,frame64,frame65,frame66,frame67,frame68,frame69,frame70,frame71,frame72,frame73,frame74,frame75,frame76,frame77,frame78,frame79,frame80,frame81,frame82,frame83,frame84,frame85,frame86,frame87,frame88,frame89,frame90,frame91,frame92,frame93,frame94,frame95,frame96,frame97,frame98,frame99,frame100,frame101,frame102,frame103,frame104,frame105,frame106,frame107,frame108,frame109,frame110,frame111,frame112,frame113,frame114,frame115,frame116,frame117,frame118,frame119,frame120
camera0,200.72,201.21,201.81,202.54,203.39,204.36,205.45,206.65,207.96,209.39,210.92,212.57,214.31,216.16,218.1,220.15,222.28,224.51,226.82,229.22,231.71,234.27,236.92,239.63,242.42,245.28,248.21,251.21,254.26,257.38,260.56,263.79,267.07,270.41,273.8,277.24,280.73,284.26,287.84,291.45,295.11,298.8,302.54,306.31,310.11,313.95,317.82,321.72,325.65,329.61,333.6,337.62,341.66,345.72,349.81,353.93,358.06,362.22,366.4,370.6,374.82,379.06,383.31,387.59,391.88,396.19,400.51,404.85,409.21,413.57,417.96,422.36,426.77,431.19,435.62,440.07,444.53,449.0,453.49,457.98,462.48,466.99,471.52,476.05,480.59,485.14,489.7,494.27,498.85,503.43,508.02,512.62,517.23,521.85,526.47,531.1,535.73,540.37,545.02,549.68,554.34,559.0,563.67,568.35,573.03,577.72,582.42,587.12,591.82,596.53,601.24,605.96,610.68,615.41,620.14,624.87,629.61,634.35,639.1,643.85,648.61
camera1,183.88,188.3,192.75,197.23,201.73,206.25,210.79,215.36,219.94,224.54,229.16,233.79,238.44,243.1,247.78,252.46,257.16,261.87,266.6,271.33,276.07,280.82,285.57,290.34,295.12,299.9,304.69,309.48,314.28,319.09,323.9,328.72,333.55,338.38,343.21,348.05,352.89,357.74,362.59,367.45,372.31,377.17,382.04,386.91,391.78,396.66,401.54,406.42,411.31,416.19,421.09,425.98,430.87,435.77,440.67,445.58,450.48,455.39,460.3,465.21,470.12,475.03,479.95,484.87,489.79,494.71,499.63,504.56,509.48,514.41,519.34,524.27,529.2,534.13,539.07,544.0,548.94,553.88,558.81,563.75,568.69,573.64,578.58,583.52,588.47,593.41,598.36,603.31,608.25,613.2,618.15,623.1,628.05,633.01,637.96,642.91,647.87,652.82,657.78,662.74,667.69,672.65,677.61,682.57,687.53,692.49,697.45,702.41,707.37,712.33,717.3,722.26,727.22,732.19,737.15,742.12,747.08,752.05,757.02,761.98,766.95
camera2,700.0,695.0,690.0,685.0,680.0,675.0,670.0,665.0,660.0,655.0,650.0,645.0,640.0,635.0,630.0,625.0,620.0,615.0,610.0,605.0,600.0,595.0,590.0,585.0,580.0,575.0,570.0,565.0,560.0,555.0,550.0,545.0,540.0,535.0,530.0,525.0,520.0,515.0,510.0,505.0,500.0,495.0,490.0,485.0,480.0,475.0,470.0,465.0,460.0,455.0,450.0,445.0,440.0,435.0,430.0,425.0,420.0,415.0,410.0,405.0,400.0,395.0,390.0,385.0,380.0,375.0,370.0,365.0,360.0,355.0,350.0,345.0,340.0,335.0,330.0,325.0,320.0,315.0,310.0,305.0,300.0,295.0,290.0,285.0,280.0,275.0,270.0,265.0,260.0,255.0,250.0,245.0,240.0,235.0,230.0,225.0,220.0,215.0,210.0,205.0,200.0,195.0,190.0,185.0,180.0,175.0,170.0,165.0,160.0,155.0,150.0,145.0,140.0,135.0,130.0,125.0,120.0,115.0,110.0,105.0,100.0
camera3,500.0,497.02,494.06,491.15,488.26,485.41,482.6,479.82,477.07,474.37,471.7,469.07,466.48,463.92,461.41,458.94,456.51,454.12,451.77,449.47,447.21,445.0,442.83,440.71,438.63,436.61,434.63,432.7,430.81,428.98,427.2,425.47,423.79,422.17,420.59,419.08,417.61,416.2,414.85,413.55,412.31,411.13,410.0,408.93,407.92,406.97,406.08,405.25,404.47,403.76,403.11,402.52,402.0,401.53,401.12,400.78,400.5,400.28,400.12,400.03,400.0,400.03,400.12,400.28,400.5,400.78,401.12,401.53,402.0,402.52,403.11,403.76,404.47,405.25,406.08,406.97,407.92,408.93,410.0,411.13,412.31,413.55,414.85,416.2,417.61,419.08,420.59,422.17,423.79,425.47,427.2,428.98,430.81,432.7,434.63,436.61,438.63,440.71,442.83,445.0,447.21,449.47,451.77,454.12,456.51,458.94,461.41,463.92,466.48,469.07,471.7,474.37,477.07,479.82,482.6,485.41,488.26,491.15,494.06,497.02,500.0
