frameID,d0,d1,d2,d3
0,282.84,316.23,700.0,500.0
1,284.97,315.29,697.0,498.21
2,287.12,314.38,694.0,496.42
3,289.28,313.5,691.0,494.65
4,291.45,312.64,688.0,492.89
5,293.64,311.81,685.0,491.15
6,295.84,311.0,682.0,489.41
7,298.06,310.23,679.0,487.69
8,300.29,309.48,676.0,485.98
9,302.54,308.75,673.0,484.28
10,304.8,308.06,670.0,482.6
11,307.07,307.39,667.0,480.93
12,309.35,306.75,664.0,479.27
13,311.64,306.14,661.0,477.62
14,313.95,305.56,658.0,475.99
15,316.27,305.0,655.0,474.37
16,318.6,304.47,652.0,472.76
17,320.94,303.98,649.0,471.17
18,323.29,303.51,646.0,469.59
19,325.65,303.07,643.0,468.03
20,328.02,302.65,640.0,466.48
21,330.41,302.27,637.0,464.94
22,332.8,301.92,634.0,463.42
23,335.2,301.6,631.0,461.91
24,337.62,301.3,628.0,460.42
25,340.04,301.04,625.0,458.94
26,342.47,300.81,622.0,457.48
27,344.91,300.6,619.0,456.03
28,347.36,300.43,616.0,454.59
29,349.81,300.28,613.0,453.18
30,352.28,300.17,610.0,451.77
31,354.75,300.08,607.0,450.39
32,357.23,300.03,604.0,449.02
33,359.72,300.0,601.0,447.66
34,362.22,300.01,598.0,446.32
35,364.73,300.04,595.0,445.0
36,367.24,300.11,592.0,443.69
37,369.76,300.2,589.0,442.4
38,372.28,300.33,586.0,441.13
39,374.82,300.48,583.0,439.87
40,377.36,300.67,580.0,438.63
41,379.91,300.88,577.0,437.41
42,382.46,301.12,574.0,436.21
43,385.02,301.4,571.0,435.02
44,387.59,301.7,568.0,433.85
45,390.16,302.03,565.0,432.7
46,392.74,302.4,562.0,431.56
47,395.32,302.79,559.0,430.44
48,397.91,303.21,556.0,429.34
49,400.51,303.66,553.0,428.26
50,403.11,304.14,550.0,427.2
51,405.72,304.65,547.0,426.16
52,408.33,305.18,544.0,425.13
53,410.95,305.75,541.0,424.12
54,413.57,306.34,538.0,423.14
55,416.2,306.96,535.0,422.17
56,418.84,307.61,532.0,421.22
57,421.47,308.29,529.0,420.29
58,424.12,308.99,526.0,419.38
59,426.77,309.72,523.0,418.48
60,429.42,310.48,520.0,417.61
61,432.08,311.27,517.0,416.76
62,434.74,312.08,514.0,415.93
63,437.4,312.92,511.0,415.12
64,440.07,313.79,508.0,414.32
65,442.75,314.68,505.0,413.55
66,445.43,315.6,502.0,412.8
67,448.11,316.55,499.0,412.07
68,450.79,317.52,496.0,411.36
69,453.49,318.51,493.0,410.67
70,456.18,319.53,490.0,410.0
71,458.88,320.58,487.0,409.35
72,461.58,321.65,484.0,408.72
73,464.29,322.74,481.0,408.12
74,466.99,323.86,478.0,407.53
75,469.71,325.0,475.0,406.97
76,472.42,326.17,472.0,406.43
77,475.14,327.35,469.0,405.91
78,477.87,328.57,466.0,405.41
79,480.59,329.8,463.0,404.93
80,483.32,331.06,460.0,404.47
81,486.05,332.34,457.0,404.04
82,488.79,333.64,454.0,403.63
83,491.53,334.96,451.0,403.24
84,494.27,336.31,448.0,402.87
85,497.02,337.68,445.0,402.52
86,499.76,339.06,442.0,402.2
87,502.51,340.47,439.0,401.9
88,505.27,341.9,436.0,401.62
