camera,frame0,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60,frame61,frame62,frame63,frame64,frame65,frame66,frame67,frame68,frame69,frame70,frame71,frame72,frame73,frame74,frame75,frame76,frame77,frame78,frame79,frame80,frame81,frame82,frame83,frame84,frame85,frame86,frame87,frame88,frame89,frame90,frame91,frame92,frame93,frame94,frame95,frame96,frame97,frame98,frame99,frame100,frame101,frame102,frame103,frame104,frame105,frame106,frame107,frame108,frame109,frame110,frame111,frame112,frame113,frame114,frame115,frame116,frame117,frame118,frame119,frame120,frame121,frame122,frame123,frame124,frame125,frame126,frame127,frame128,frame129,frame130,frame131,frame132,frame133,frame134,frame135,frame136,frame137,frame138,frame139,frame140,frame141,frame142,frame143,frame144,frame145,frame146,frame147,frame148,frame149,frame150,frame151,frame152,frame153,frame154,frame155,frame156,frame157,frame158,frame159,frame160,frame161,frame162,frame163,frame164,frame165,frame166,frame167,frame168,frame169,frame170,frame171,frame172,frame173,frame174,frame175,frame176,frame177,frame178,frame179,frame180,frame181,frame182,frame183,frame184,frame185,frame186,frame187,frame188,frame189,frame190,frame191,frame192,frame193,frame194,frame195,frame196,frame197,frame198,frame199,frame200
camera0,282.84,284.97,287.12,289.28,291.45,293.64,295.84,298.06,300.29,302.54,304.8,307.07,309.35,311.64,313.95,316.27,318.6,320.94,323.29,325.65,328.02,330.41,332.8,335.2,337.62,340.04,342.47,344.91,347.36,349.81,352.28,354.75,357.23,359.72,362.22,364.73,367.24,369.76,372.28,374.82,377.36,379.91,382.46,385.02,387.59,390.16,392.74,395.32,397.91,400.51,403.11,405.72,408.33,410.95,413.57,416.2,418.84,421.47,424.12,426.77,429.42,432.08,434.74,437.4,440.07,442.75,445.43,448.11,450.79,453.49,456.18,458.88,461.58,464.29,466.99,469.71,472.42,475.14,477.87,480.59,483.32,486.05,488.79,491.53,494.27,497.02,499.76,502.51,505.27,508.02,510.78,513.55,516.31,519.08,521.85,524.62,527.39,530.17,532.95,535.73,538.52,541.3,544.09,546.88,549.68,552.47,555.27,558.07,560.87,563.67,566.48,569.29,572.1,574.91,577.72,580.54,583.36,586.17,589.0,591.82,594.64,597.47,600.3,603.13,605.96,608.79,611.62,614.46,617.3,620.14,622.98,625.82,628.66,631.51,634.35,637.2,640.05,642.9,645.75,648.61,651.46,654.32,657.17,660.03,662.89,665.75,668.61,671.48,674.34,677.21,680.07,682.94,685.81,688.68,691.55,694.42,697.3,700.17,703.05,705.92,708.8,711.68,714.56,717.44,720.32,723.2,726.09,728.97,731.86,734.74,737.63,740.52,743.41,746.3,749.19,752.08,754.97,757.87,760.76,763.66,766.55,769.45,772.34,775.24,778.14,781.04,783.94,786.84,789.74,792.65,795.55,798.45,801.36,804.26,807.17,810.08,812.98,815.89,818.8,821.71,824.62
camera1,316.23,315.29,314.38,313.5,312.64,311.81,311.0,310.23,309.48,308.75,308.06,307.39,306.75,306.14,305.56,305.0,304.47,303.98,303.51,303.07,302.65,302.27,301.92,301.6,301.3,301.04,300.81,300.6,300.43,300.28,300.17,300.08,300.03,300.0,300.01,300.04,300.11,300.2,300.33,300.48,300.67,300.88,301.12,301.4,301.7,302.03,302.4,302.79,303.21,303.66,304.14,304.65,305.18,305.75,306.34,306.96,307.61,308.29,308.99,309.72,310.48,311.27,312.08,312.92,313.79,314.68,315.6,316.55,317.52,318.51,319.53,320.58,321.65,322.74,323.86,325.0,326.17,327.35,328.57,329.8,331.06,332.34,333.64,334.96,336.31,337.68,339.06,340.47,341.9,343.35,344.82,346.31,347.82,349.34,350.89,352.46,354.04,355.64,357.26,358.9,360.56,362.23,363.92,365.62,367.35,369.09,370.84,372.61,374.4,376.2,378.02,379.85,381.7,383.56,385.44,387.33,389.24,391.15,393.09,395.03,396.99,398.96,400.94,402.94,404.95,406.97,409.0,411.05,413.11,415.17,417.25,419.34,421.45,423.56,425.68,427.81,429.96,432.11,434.28,436.45,438.63,440.83,443.03,445.24,447.46,449.69,451.93,454.18,456.44,458.7,460.98,463.26,465.55,467.85,470.15,472.47,474.79,477.12,479.45,481.8,484.15,486.51,488.87,491.24,493.62,496.01,498.4,500.8,503.21,505.62,508.04,510.46,512.89,515.33,517.77,520.22,522.67,525.13,527.59,530.07,532.54,535.02,537.51,540.0,542.5,545.0,547.51,550.02,552.54,555.06,557.58,560.12,562.65,565.19,567.74,570.29,572.84,575.4,577.96,580.52,583.1
camera2,700.0,697.0,694.0,691.0,688.0,685.0,682.0,679.0,676.0,673.0,670.0,667.0,664.0,661.0,658.0,655.0,652.0,649.0,646.0,643.0,640.0,637.0,634.0,631.0,628.0,625.0,622.0,619.0,616.0,613.0,610.0,607.0,604.0,601.0,598.0,595.0,592.0,589.0,586.0,583.0,580.0,577.0,574.0,571.0,568.0,565.0,562.0,559.0,556.0,553.0,550.0,547.0,544.0,541.0,538.0,535.0,532.0,529.0,526.0,523.0,520.0,517.0,514.0,511.0,508.0,505.0,502.0,499.0,496.0,493.0,490.0,487.0,484.0,481.0,478.0,475.0,472.0,469.0,466.0,463.0,460.0,457.0,454.0,451.0,448.0,445.0,442.0,439.0,436.0,433.0,430.0,427.0,424.0,421.0,418.0,415.0,412.0,409.0,406.0,403.0,400.0,397.0,394.0,391.0,388.0,385.0,382.0,379.0,376.0,373.0,370.0,367.0,364.0,361.0,358.0,355.0,352.0,349.0,346.0,343.0,340.0,337.0,334.0,331.0,328.0,325.0,322.0,319.0,316.0,313.0,310.0,307.0,304.0,301.0,298.0,295.0,292.0,289.0,286.0,283.0,280.0,277.0,274.0,271.0,268.0,265.0,262.0,259.0,256.0,253.0,250.0,247.0,244.0,241.0,238.0,235.0,232.0,229.0,226.0,223.0,220.0,217.0,214.0,211.0,208.0,205.0,202.0,199.0,196.0,193.0,190.0,187.0,184.0,181.0,178.0,175.0,172.0,169.0,166.0,163.0,160.0,157.0,154.0,151.0,148.0,145.0,142.0,139.0,136.0,133.0,130.0,127.0,124.0,121.0,118.0,115.0,112.0,109.0,106.0,103.0,100.0
camera3,500.0,498.21,496.42,494.65,492.89,491.15,489.41,487.69,485.98,484.28,482.6,480.93,479.27,477.62,475.99,474.37,472.76,471.17,469.59,468.03,466.48,464.94,463.42,461.91,460.42,458.94,457.48,456.03,454.59,453.18,451.77,450.39,449.02,447.66,446.32,445.0,443.69,442.4,441.13,439.87,438.63,437.41,436.21,435.02,433.85,432.7,431.56,430.44,429.34,428.26,427.2,426.16,425.13,424.12,423.14,422.17,421.22,420.29,419.38,418.48,417.61,416.76,415.93,415.12,414.32,413.55,412.8,412.07,411.36,410.67,410.0,409.35,408.72,408.12,407.53,406.97,406.43,405.91,405.41,404.93,404.47,404.04,403.63,403.24,402.87,402.52,402.2,401.9,401.62,401.36,401.12,400.91,400.72,400.55,400.4,400.28,400.18,400.1,400.05,400.01,400.0,400.01,400.05,400.1,400.18,400.28,400.4,400.55,400.72,400.91,401.12,401.36,401.62,401.9,402.2,402.52,402.87,403.24,403.63,404.04,404.47,404.93,405.41,405.91,406.43,406.97,407.53,408.12,408.72,409.35,410.0,410.67,411.36,412.07,412.8,413.55,414.32,415.12,415.93,416.76,417.61,418.48,419.38,420.29,421.22,422.17,423.14,424.12,425.13,426.16,427.2,428.26,429.34,430.44,431.56,432.7,433.85,435.02,436.21,437.41,438.63,439.87,441.13,442.4,443.69,445.0,446.32,447.66,449.02,450.39,451.77,453.18,454.59,456.03,457.48,458.94,460.42,461.91,463.42,464.94,466.48,468.03,469.59,471.17,472.76,474.37,475.99,477.62,479.27,480.93,482.6,484.28,485.98,487.69,489.41,491.15,492.89,494.65,496.42,498.21,500.0
