frameID,d0,d1,d2,d3
0,100.0,447.21,633.14,347.0
1,105.0,445.0,628.15,347.02
2,110.0,442.83,623.16,347.12
3,115.0,440.71,618.17,347.28
4,120.0,438.63,613.18,347.52
5,125.0,436.61,608.19,347.83
6,130.0,434.63,603.2,348.21
7,135.0,432.7,598.21,348.66
8,140.0,430.81,593.22,349.18
9,145.0,428.98,588.23,349.78
10,150.0,427.2,583.24,350.44
11,155.0,425.47,578.25,351.18
12,160.0,423.79,573.26,351.98
13,165.0,422.17,568.27,352.85
14,170.0,420.59,563.28,353.79
15,175.0,419.08,558.29,354.8
16,180.0,417.61,553.31,355.88
17,185.0,416.2,548.32,357.02
18,190.0,414.85,543.33,358.23
19,195.0,413.55,538.34,359.51
20,200.0,412.31,533.36,360.85
21,205.0,411.13,528.37,362.25
22,210.0,410.0,523.38,363.72
23,215.0,408.93,518.39,365.25
24,220.0,407.92,513.41,366.84
25,225.0,406.97,508.42,368.49
26,230.0,406.08,503.44,370.2
27,235.0,405.25,498.45,371.97
28,240.0,404.47,493.47,373.8
29,245.0,403.76,488.48,375.69
30,250.0,403.11,483.5,377.64
31,255.0,402.52,478.51,379.64
32,260.0,402.0,473.53,381.69
33,265.0,401.53,468.54,383.8
34,270.0,401.12,463.56,385.97
35,275.0,400.78,458.58,388.18
36,280.0,400.5,453.59,390.45
37,285.0,400.28,448.61,392.77
38,290.0,400.12,443.63,395.13
39,295.0,400.03,438.65,397.55
40,300.0,400.0,433.67,400.01
41,305.0,400.03,428.69,402.52
42,310.0,400.12,423.71,405.08
43,315.0,400.28,418.73,407.68
44,320.0,400.5,413.75,410.33
45,325.0,400.78,408.77,413.02
46,330.0,401.12,403.79,415.75
47,335.0,401.53,398.81,418.53
48,340.0,402.0,393.84,421.34
49,345.0,402.52,388.86,424.2
50,350.0,403.11,383.89,427.09
51,355.0,403.76,378.91,430.03
52,360.0,404.47,373.94,433.0
53,365.0,405.25,368.96,436.01
54,370.0,406.08,363.99,439.06
55,375.0,406.97,359.02,442.14
56,380.0,407.92,354.05,445.25
57,385.0,408.93,349.07,448.4
58,390.0,410.0,344.1,451.59
59,395.0,411.13,339.14,454.8
60,400.0,412.31,334.17,458.05
61,405.0,413.55,329.2,461.33
62,410.0,414.85,324.23,464.64
63,415.0,416.2,319.27,467.98
64,420.0,417.61,314.31,471.35
65,425.0,419.08,309.34,474.75
66,430.0,420.59,304.38,478.17
67,435.0,422.17,299.42,481.63
68,440.0,423.79,294.46,485.11
69,445.0,425.47,289.5,488.62
70,450.0,427.2,284.55,492.15
71,455.0,428.98,279.59,495.71
72,460.0,430.81,274.64,499.29
73,465.0,432.7,269.69,502.9
74,470.0,434.63,264.74,506.53
75,475.0,436.61,259.79,510.18
76,480.0,438.63,254.85,513.86
77,485.0,440.71,249.91,517.56
78,490.0,442.83,244.97,521.28
79,495.0,445.0,240.03,525.02
80,500.0,447.21,235.09,528.78
81,505.0,449.47,230.16,532.56
82,510.0,451.77,225.23,536.37
83,515.0,454.12,220.3,540.19
84,520.0,456.51,215.38,544.03
85,525.0,458.94,210.46,547.89
86,530.0,461.41,205.54,551.77
87,535.0,463.92,200.63,555.67
88,540.0,466.48,195.72,559.58
89,545.0,469.07,190.82,563.51
90,550.0,471.7,185.92,567.46
91,555.0,474.37,181.03,571.42
92,560.0,477.07,176.15,575.4
93,565.0,479.82,171.27,579.4
94,570.0,482.6,166.4,583.41
95,575.0,485.41,161.53,587.44
96,580.0,488.26,156.68,591.48
97,585.0,491.15,151.83,595.54
98,590.0,494.06,147.0,599.61
99,595.0,497.02,142.17,603.69
100,600.0,500.0,137.36,607.79
