camera,frame0,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60,frame61,frame62,frame63,frame64,frame65,frame66,frame67,frame68,frame69,frame70,frame71,frame72,frame73,frame74,frame75,frame76,frame77,frame78,frame79,frame80,frame81,frame82,frame83,frame84,frame85,frame86,frame87,frame88,frame89,frame90,frame91,frame92,frame93,frame94,frame95,frame96,frame97,frame98,frame99,frame100
camera0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0,150.0,155.0,160.0,165.0,170.0,175.0,180.0,185.0,190.0,195.0,200.0,205.0,210.0,215.0,220.0,225.0,230.0,235.0,240.0,245.0,250.0,255.0,260.0,265.0,270.0,275.0,280.0,285.0,290.0,295.0,300.0,305.0,310.0,315.0,320.0,325.0,330.0,335.0,340.0,345.0,350.0,355.0,360.0,365.0,370.0,375.0,380.0,385.0,390.0,395.0,400.0,405.0,410.0,415.0,420.0,425.0,430.0,435.0,440.0,445.0,450.0,455.0,460.0,465.0,470.0,475.0,480.0,485.0,490.0,495.0,500.0,505.0,510.0,515.0,520.0,525.0,530.0,535.0,540.0,545.0,550.0,555.0,560.0,565.0,570.0,575.0,580.0,585.0,590.0,595.0,600.0
camera1,447.21,445.0,442.83,440.71,438.63,436.61,434.63,432.7,430.81,428.98,427.2,425.47,423.79,422.17,420.59,419.08,417.61,416.2,414.85,413.55,412.31,411.13,410.0,408.93,407.92,406.97,406.08,405.25,404.47,403.76,403.11,402.52,402.0,401.53,401.12,400.78,400.5,400.28,400.12,400.03,400.0,400.03,400.12,400.28,400.5,400.78,401.12,401.53,402.0,402.52,403.11,403.76,404.47,405.25,406.08,406.97,407.92,408.93,410.0,411.13,412.31,413.55,414.85,416.2,417.61,419.08,420.59,422.17,423.79,425.47,427.2,428.98,430.81,432.7,434.63,436.61,438.63,440.71,442.83,445.0,447.21,449.47,451.77,454.12,456.51,458.94,461.41,463.92,466.48,469.07,471.7,474.37,477.07,479.82,482.6,485.41,488.26,491.15,494.06,497.02,500.0
camera2,633.14,628.15,623.16,618.17,613.18,608.19,603.2,598.21,593.22,588.23,583.24,578.25,573.26,568.27,563.28,558.29,553.31,548.32,543.33,538.34,533.36,528.37,523.38,518.39,513.41,508.42,503.44,498.45,493.47,488.48,483.5,478.51,473.53,468.54,463.56,458.58,453.59,448.61,443.63,438.65,433.67,428.69,423.71,418.73,413.75,408.77,403.79,398.81,393.84,388.86,383.89,378.91,373.94,368.96,363.99,359.02,354.05,349.07,344.1,339.14,334.17,329.2,324.23,319.27,314.31,309.34,304.38,299.42,294.46,289.5,284.55,279.59,274.64,269.69,264.74,259.79,254.85,249.91,244.97,240.03,235.09,230.16,225.23,220.3,215.38,210.46,205.54,200.63,195.72,190.82,185.92,181.03,176.15,171.27,166.4,161.53,156.68,151.83,147.0,142.17,137.36
camera3,347.0,347.02,347.12,347.28,347.52,347.83,348.21,348.66,349.18,349.78,350.44,351.18,351.98,352.85,353.79,354.8,355.88,357.02,358.23,359.51,360.85,362.25,363.72,365.25,366.84,368.49,370.2,371.97,373.8,375.69,377.64,379.64,381.69,383.8,385.97,388.18,390.45,392.77,395.13,397.55,400.01,402.52,405.08,407.68,410.33,413.02,415.75,418.53,421.34,424.2,427.09,430.03,433.0,436.01,439.06,442.14,445.25,448.4,451.59,454.8,458.05,461.33,464.64,467.98,471.35,474.75,478.17,481.63,485.11,488.62,492.15,495.71,499.29,502.9,506.53,510.18,513.86,517.56,521.28,525.02,528.78,532.56,536.37,540.19,544.03,547.89,551.77,555.67,559.58,563.51,567.46,571.42,575.4,579.4,583.41,587.44,591.48,595.54,599.61,603.69,607.79
