camera,frame0,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60,frame61,frame62,frame63,frame64,frame65,frame66,frame67,frame68,frame69,frame70,frame71,frame72,frame73,frame74,frame75,frame76,frame77,frame78,frame79,frame80,frame81,frame82,frame83,frame84,frame85,frame86,frame87,frame88,frame89,frame90,frame91,frame92,frame93,frame94,frame95,frame96,frame97,frame98,frame99,frame100,frame101,frame102,frame103,frame104,frame105,frame106,frame107,frame108,frame109,frame110,frame111,frame112,frame113,frame114,frame115,frame116,frame117,frame118,frame119,frame120
camera0,241.76,245.67,249.62,253.6,257.62,261.67,265.76,269.88,274.02,278.2,282.4,286.62,290.87,295.15,299.45,303.76,308.1,312.46,316.84,321.24,325.65,330.08,334.53,338.99,343.46,347.96,352.46,356.98,361.51,366.05,370.6,375.17,379.75,384.33,388.93,393.54,398.16,402.78,407.42,412.06,416.71,421.37,426.04,430.71,435.39,440.08,444.78,449.48,454.19,458.9,463.62,468.35,473.08,477.82,482.56,487.31,492.07,496.82,501.59,506.35,511.12,515.9,520.68,525.46,530.25,535.04,539.84,544.64,549.44,554.25,559.06,563.87,568.69,573.51,578.33,583.16,587.99,592.82,597.65,602.49,607.33,612.17,617.02,621.86,626.71,631.56,636.42,641.27,646.13,650.99,655.86,660.72,665.59,670.46,675.33,680.2,685.08,689.95,694.83,699.71,704.59,709.47,714.36,719.24,724.13,729.02,733.91,738.81,743.7,748.59,753.49,758.39,763.29,768.19,773.09,777.99,782.9,787.8,792.71,797.62,802.53
camera1,380.03,385.02,390.01,394.99,399.98,404.97,409.96,414.95,419.93,424.92,429.91,434.9,439.89,444.88,449.87,454.86,459.85,464.84,469.84,474.83,479.82,484.81,489.8,494.79,499.78,504.78,509.77,514.76,519.75,524.75,529.74,534.73,539.73,544.72,549.71,554.71,559.7,564.69,569.69,574.68,579.68,584.67,589.67,594.66,599.65,604.65,609.64,614.64,619.63,624.63,629.62,634.62,639.61,644.61,649.6,654.6,659.59,664.59,669.59,674.58,679.58,684.57,689.57,694.56,699.56,704.56,709.55,714.55,719.55,724.54,729.54,734.53,739.53,744.53,749.52,754.52,759.52,764.51,769.51,774.51,779.5,784.5,789.5,794.49,799.49,804.49,809.48,814.48,819.48,824.48,829.47,834.47,839.47,844.46,849.46,854.46,859.46,864.45,869.45,874.45,879.45,884.44,889.44,894.44,899.44,904.43,909.43,914.43,919.43,924.42,929.42,934.42,939.42,944.42,949.41,954.41,959.41,964.41,969.4,974.4,979.4
camera2,700.0,695.0,690.0,685.0,680.0,675.0,670.0,665.0,660.0,655.0,650.0,645.0,640.0,635.0,630.0,625.0,620.0,615.0,610.0,605.0,600.0,595.0,590.0,585.0,580.0,575.0,570.0,565.0,560.0,555.0,550.0,545.0,540.0,535.0,530.0,525.0,520.0,515.0,510.0,505.0,500.0,495.0,490.0,485.0,480.0,475.0,470.0,465.0,460.0,455.0,450.0,445.0,440.0,435.0,430.0,425.0,420.0,415.0,410.0,405.0,400.0,395.0,390.0,385.0,380.0,375.0,370.0,365.0,360.0,355.0,350.0,345.0,340.0,335.0,330.0,325.0,320.0,315.0,310.0,305.0,300.0,295.0,290.0,285.0,280.0,275.0,270.0,265.0,260.0,255.0,250.0,245.0,240.0,235.0,230.0,225.0,220.0,215.0,210.0,205.0,200.0,195.0,190.0,185.0,180.0,175.0,170.0,165.0,160.0,155.0,150.0,145.0,140.0,135.0,130.0,125.0,120.0,115.0,110.0,105.0,100.0
camera3,500.0,497.02,494.06,491.15,488.26,485.41,482.6,479.82,477.07,474.37,471.7,469.07,466.48,463.92,461.41,458.94,456.51,454.12,451.77,449.47,447.21,445.0,442.83,440.71,438.63,436.61,434.63,432.7,430.81,428.98,427.2,425.47,423.79,422.17,420.59,419.08,417.61,416.2,414.85,413.55,412.31,411.13,410.0,408.93,407.92,406.97,406.08,405.25,404.47,403.76,403.11,402.52,402.0,401.53,401.12,400.78,400.5,400.28,400.12,400.03,400.0,400.03,400.12,400.28,400.5,400.78,401.12,401.53,402.0,402.52,403.11,403.76,404.47,405.25,406.08,406.97,407.92,408.93,410.0,411.13,412.31,413.55,414.85,416.2,417.61,419.08,420.59,422.17,423.79,425.47,427.2,428.98,430.81,432.7,434.63,436.61,438.63,440.71,442.83,445.0,447.21,449.47,451.77,454.12,456.51,458.94,461.41,463.92,466.48,469.07,471.7,474.37,477.07,479.82,482.6,485.41,488.26,491.15,494.06,497.02,500.0
