frameID,d0,d1,d2,d3
0,72.35,329.83,700.0,500.0
1,77.78,323.28,692.0,495.24
2,83.63,316.81,684.0,490.57
3,89.81,310.41,676.0,485.98
4,96.26,304.08,668.0,481.48
5,102.93,297.83,660.0,477.07
6,109.77,291.67,652.0,472.76
7,116.76,285.6,644.0,468.55
8,123.88,279.63,636.0,464.43
9,131.1,273.76,628.0,460.42
10,138.4,268.0,620.0,456.51
11,145.77,262.36,612.0,452.71
12,153.21,256.84,604.0,449.02
13,160.7,251.46,596.0,445.44
14,168.24,246.22,588.0,441.98
15,175.82,241.13,580.0,438.63
16,183.44,236.21,572.0,435.41
17,191.09,231.45,564.0,432.31
18,198.76,226.88,556.0,429.34
19,206.46,222.5,548.0,426.5
20,214.18,218.32,540.0,423.79
21,221.92,214.37,532.0,421.22
22,229.68,210.64,524.0,418.78
23,237.46,207.15,516.0,416.48
24,245.25,203.92,508.0,414.32
25,253.05,200.96,500.0,412.31
26,260.86,198.28,492.0,410.44
27,268.69,195.88,484.0,408.72
28,276.52,193.79,476.0,407.16
29,284.37,192.0,468.0,405.74
30,292.22,190.54,460.0,404.47
31,300.08,189.4,452.0,403.37
32,307.95,188.6,444.0,402.41
33,315.83,188.13,436.0,401.62
34,323.71,188.0,428.0,400.98
35,331.59,188.22,420.0,400.5
36,339.48,188.77,412.0,400.18
37,347.38,189.65,404.0,400.02
38,355.28,190.87,396.0,400.02
39,363.19,192.42,388.0,400.18
40,371.1,194.28,380.0,400.5
41,379.01,196.45,372.0,400.98
42,386.93,198.92,364.0,401.62
43,394.85,201.68,356.0,402.41
44,402.77,204.71,348.0,403.37
45,410.7,208.0,340.0,404.47
46,418.63,211.55,332.0,405.74
47,426.56,215.33,324.0,407.16
48,434.5,219.35,316.0,408.72
49,442.43,223.57,308.0,410.44
50,450.37,228.0,300.0,412.31
51,458.31,232.62,292.0,414.32
52,466.26,237.42,284.0,416.48
53,474.2,242.39,276.0,418.78
54,482.15,247.52,268.0,421.22
55,490.1,252.79,260.0,423.79
56,498.05,258.21,252.0,426.5
57,506.0,263.76,244.0,429.34
58,513.95,269.43,236.0,432.31
59,521.91,275.22,228.0,435.41
60,529.86,281.11,220.0,438.63
61,537.82,287.11,212.0,441.98
62,545.78,293.2,204.0,445.44
63,553.74,299.39,196.0,449.02
64,561.7,305.66,188.0,452.71
65,569.66,312.0,180.0,456.51
66,577.62,318.42,172.0,460.42
67,585.59,324.91,164.0,464.43
68,593.55,331.47,156.0,468.55
69,601.52,338.09,148.0,472.76
70,609.49,344.77,140.0,477.07
71,617.45,351.5,132.0,481.48
72,625.42,358.29,124.0,485.98
73,633.39,365.12,116.0,490.57
74,641.36,372.0,108.0,495.24
75,649.33,378.93,100.0,500.0
