camera,frame0,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60,frame61,frame62,frame63,frame64,frame65,frame66,frame67,frame68,frame69,frame70,frame71,frame72,frame73,frame74,frame75
camera0,72.35,77.78,83.63,89.81,96.26,102.93,109.77,116.76,123.88,131.1,138.4,145.77,153.21,160.7,168.24,175.82,183.44,191.09,198.76,206.46,214.18,221.92,229.68,237.46,245.25,253.05,260.86,268.69,276.52,284.37,292.22,300.08,307.95,315.83,323.71,331.59,339.48,347.38,355.28,363.19,371.1,379.01,386.93,394.85,402.77,410.7,418.63,426.56,434.5,442.43,450.37,458.31,466.26,474.2,482.15,490.1,498.05,506.0,513.95,521.91,529.86,537.82,545.78,553.74,561.7,569.66,577.62,585.59,593.55,601.52,609.49,617.45,625.42,633.39,641.36,649.33
camera1,329.83,323.28,316.81,310.41,304.08,297.83,291.67,285.6,279.63,273.76,268.0,262.36,256.84,251.46,246.22,241.13,236.21,231.45,226.88,222.5,218.32,214.37,210.64,207.15,203.92,200.96,198.28,195.88,193.79,192.0,190.54,189.4,188.6,188.13,188.0,188.22,188.77,189.65,190.87,192.42,194.28,196.45,198.92,201.68,204.71,208.0,211.55,215.33,219.35,223.57,228.0,232.62,237.42,242.39,247.52,252.79,258.21,263.76,269.43,275.22,281.11,287.11,293.2,299.39,305.66,312.0,318.42,324.91,331.47,338.09,344.77,351.5,358.29,365.12,372.0,378.93
camera2,700.0,692.0,684.0,676.0,668.0,660.0,652.0,644.0,636.0,628.0,620.0,612.0,604.0,596.0,588.0,580.0,572.0,564.0,556.0,548.0,540.0,532.0,524.0,516.0,508.0,500.0,492.0,484.0,476.0,468.0,460.0,452.0,444.0,436.0,428.0,420.0,412.0,404.0,396.0,388.0,380.0,372.0,364.0,356.0,348.0,340.0,332.0,324.0,316.0,308.0,300.0,292.0,284.0,276.0,268.0,260.0,252.0,244.0,236.0,228.0,220.0,212.0,204.0,196.0,188.0,180.0,172.0,164.0,156.0,148.0,140.0,132.0,124.0,116.0,108.0,100.0
camera3,500.0,495.24,490.57,485.98,481.48,477.07,472.76,468.55,464.43,460.42,456.51,452.71,449.02,445.44,441.98,438.63,435.41,432.31,429.34,426.5,423.79,421.22,418.78,416.48,414.32,412.31,410.44,408.72,407.16,405.74,404.47,403.37,402.41,401.62,400.98,400.5,400.18,400.02,400.02,400.18,400.5,400.98,401.62,402.41,403.37,404.47,405.74,407.16,408.72,410.44,412.31,414.32,416.48,418.78,421.22,423.79,426.5,429.34,432.31,435.41,438.63,441.98,445.44,449.02,452.71,456.51,460.42,464.43,468.55,472.76,477.07,481.48,485.98,490.57,495.24,500.0
