camera,frame0,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60,frame61,frame62,frame63,frame64,frame65,frame66,frame67,frame68,frame69,frame70,frame71,frame72,frame73,frame74,frame75,frame76,frame77,frame78,frame79,frame80,frame81,frame82,frame83,frame84,frame85,frame86
camera0,139.63,145.21,150.9,156.71,162.6,168.59,174.64,180.77,186.95,193.2,199.49,205.83,212.21,218.63,225.08,231.56,238.08,244.62,251.18,257.77,264.38,271.01,277.65,284.32,291.0,297.69,304.4,311.12,317.86,324.6,331.35,338.12,344.89,351.68,358.47,365.27,372.08,378.89,385.71,392.54,399.37,406.21,413.05,419.9,426.76,433.61,440.48,447.34,454.22,461.09,467.97,474.85,481.74,488.63,495.52,502.42,509.31,516.21,523.12,530.02,536.93,543.84,550.76,557.67,564.59,571.51,578.43,585.35,592.28,599.2,606.13,613.06,619.99,626.93,633.86,640.8,647.73,654.67,661.61,668.55,675.5,682.44,689.39,696.33,703.28,710.23,717.18
camera1,509.9,503.04,496.18,489.33,482.48,475.63,468.79,461.95,455.12,448.3,441.47,434.66,427.85,421.05,414.25,407.46,400.68,393.9,387.14,380.38,373.63,366.89,360.16,353.44,346.73,340.04,333.35,326.68,320.03,313.38,306.76,300.15,293.56,286.99,280.44,273.91,267.4,260.92,254.47,248.05,241.66,235.31,228.99,222.71,216.48,210.3,204.17,198.09,192.08,186.14,180.28,174.5,168.81,163.22,157.75,152.4,147.19,142.13,137.24,132.55,128.06,123.81,119.82,116.11,112.71,109.66,106.98,104.69,102.84,101.43,100.5,100.04,100.08,100.6,101.61,103.08,105.0,107.34,110.07,113.18,116.62,120.37,124.4,128.69,133.21,137.93,142.84
camera2,700.0,693.0,686.0,679.0,672.0,665.0,658.0,651.0,644.0,637.0,630.0,623.0,616.0,609.0,602.0,595.0,588.0,581.0,574.0,567.0,560.0,553.0,546.0,539.0,532.0,525.0,518.0,511.0,504.0,497.0,490.0,483.0,476.0,469.0,462.0,455.0,448.0,441.0,434.0,427.0,420.0,413.0,406.0,399.0,392.0,385.0,378.0,371.0,364.0,357.0,350.0,343.0,336.0,329.0,322.0,315.0,308.0,301.0,294.0,287.0,280.0,273.0,266.0,259.0,252.0,245.0,238.0,231.0,224.0,217.0,210.0,203.0,196.0,189.0,182.0,175.0,168.0,161.0,154.0,147.0,140.0,133.0,126.0,119.0,112.0,105.0,98.0
camera3,500.0,495.83,491.73,487.69,483.72,479.82,475.99,472.23,468.55,464.94,461.41,457.96,454.59,451.31,448.11,445.0,441.98,439.05,436.21,433.46,430.81,428.26,425.81,423.46,421.22,419.08,417.04,415.12,413.3,411.59,410.0,408.52,407.16,405.91,404.78,403.76,402.87,402.1,401.44,400.91,400.5,400.21,400.05,400.0,400.08,400.28,400.6,401.05,401.62,402.3,403.11,404.04,405.09,406.25,407.53,408.93,410.44,412.07,413.81,415.65,417.61,419.68,421.85,424.12,426.5,428.98,431.56,434.24,437.01,439.87,442.83,445.88,449.02,452.24,455.55,458.94,462.41,465.96,469.59,473.3,477.07,480.93,484.85,488.84,492.89,497.02,501.2
