camera,frame0,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60,frame61,frame62,frame63,frame64,frame65,frame66,frame67,frame68,frame69,frame70,frame71,frame72,frame73,frame74,frame75,frame76,frame77,frame78,frame79,frame80,frame81,frame82,frame83,frame84,frame85,frame86,frame87,frame88,frame89,frame90,frame91,frame92,frame93,frame94,frame95,frame96,frame97,frame98,frame99,frame100
camera0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0,150.0,155.0,160.0,165.0,170.0,175.0,180.0,185.0,190.0,195.0,200.0,205.0,210.0,215.0,220.0,225.0,230.0,235.0,240.0,245.0,250.0,255.0,260.0,265.0,270.0,275.0,280.0,285.0,290.0,295.0,300.0,305.0,310.0,315.0,320.0,325.0,330.0,335.0,340.0,345.0,350.0,355.0,360.0,365.0,370.0,375.0,380.0,385.0,390.0,395.0,400.0,405.0,410.0,415.0,420.0,425.0,430.0,435.0,440.0,445.0,450.0,455.0,460.0,465.0,470.0,475.0,480.0,485.0,490.0,495.0,500.0,505.0,510.0,515.0,520.0,525.0,530.0,535.0,540.0,545.0,550.0,555.0,560.0,565.0,570.0,575.0,580.0,585.0,590.0,595.0,600.0
camera1,447.21,445.0,442.83,440.71,438.63,436.61,434.63,432.7,430.81,428.98,427.2,425.47,423.79,422.17,420.59,419.08,417.61,416.2,414.85,413.55,412.31,411.13,410.0,408.93,407.92,406.97,406.08,405.25,404.47,403.76,403.11,402.52,402.0,401.53,401.12,400.78,400.5,400.28,400.12,400.03,400.0,400.03,400.12,400.28,400.5,400.78,401.12,401.53,402.0,402.52,403.11,403.76,404.47,405.25,406.08,406.97,407.92,408.93,410.0,411.13,412.31,413.55,414.85,416.2,417.61,419.08,420.59,422.17,423.79,425.47,427.2,428.98,430.81,432.7,434.63,436.61,438.63,440.71,442.83,445.0,447.21,449.47,451.77,454.12,456.51,458.94,461.41,463.92,466.48,469.07,471.7,474.37,477.07,479.82,482.6,485.41,488.26,491.15,494.06,497.02,500.0
camera2,660.66,655.78,650.9,646.03,641.15,636.28,631.41,626.54,621.67,616.81,611.94,607.08,602.22,597.37,592.51,587.66,582.82,577.97,573.13,568.29,563.45,558.61,553.78,548.95,544.13,539.3,534.48,529.67,524.86,520.05,515.24,510.44,505.64,500.85,496.06,491.27,486.49,481.71,476.94,472.17,467.41,462.65,457.9,453.15,448.41,443.68,438.95,434.22,429.5,424.79,420.09,415.39,410.7,406.02,401.34,396.67,392.01,387.36,382.72,378.09,373.46,368.85,364.24,359.65,355.07,350.5,345.94,341.39,336.86,332.34,327.83,323.34,318.86,314.4,309.96,305.53,301.12,296.73,292.36,288.01,283.68,279.37,275.09,270.83,266.6,262.39,258.21,254.06,249.95,245.86,241.81,237.8,233.82,229.89,226.0,222.15,218.34,214.59,210.89,207.24,203.65
camera3,328.27,326.02,323.83,321.7,319.63,317.63,315.7,313.83,312.03,310.3,308.65,307.07,305.56,304.12,302.76,301.48,300.27,299.15,298.1,297.13,296.25,295.45,294.73,294.09,293.54,293.07,292.68,292.39,292.17,292.04,292.0,292.04,292.17,292.39,292.68,293.07,293.54,294.09,294.73,295.45,296.25,297.13,298.1,299.15,300.27,301.48,302.76,304.12,305.56,307.07,308.65,310.3,312.03,313.83,315.7,317.63,319.63,321.7,323.83,326.02,328.27,330.59,332.96,335.39,337.88,340.42,343.02,345.67,348.37,351.13,353.93,356.78,359.67,362.61,365.6,368.63,371.7,374.82,377.97,381.17,384.4,387.67,390.98,394.32,397.7,401.11,404.55,408.03,411.54,415.08,418.65,422.24,425.87,429.52,433.2,436.91,440.64,444.4,448.18,451.98,455.81
