camera,frame0,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60,frame61,frame62,frame63,frame64,frame65,frame66,frame67,frame68,frame69,frame70,frame71,frame72,frame73,frame74,frame75,frame76,frame77,frame78,frame79,frame80,frame81,frame82,frame83,frame84,frame85,frame86,frame87,frame88,frame89,frame90,frame91,frame92,frame93,frame94,frame95,frame96,frame97,frame98,frame99,frame100
camera0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0,150.0,155.0,160.0,165.0,170.0,175.0,180.0,185.0,190.0,195.0,200.0,205.0,210.0,215.0,220.0,225.0,230.0,235.0,240.0,245.0,250.0,255.0,260.0,265.0,270.0,275.0,280.0,285.0,290.0,295.0,300.0,305.0,310.0,315.0,320.0,325.0,330.0,335.0,340.0,345.0,350.0,355.0,360.0,365.0,370.0,375.0,380.0,385.0,390.0,395.0,400.0,405.0,410.0,415.0,420.0,425.0,430.0,435.0,440.0,445.0,450.0,455.0,460.0,465.0,470.0,475.0,480.0,485.0,490.0,495.0,500.0,505.0,510.0,515.0,520.0,525.0,530.0,535.0,540.0,545.0,550.0,555.0,560.0,565.0,570.0,575.0,580.0,585.0,590.0,595.0,600.0
camera1,447.21,445.0,442.83,440.71,438.63,436.61,434.63,432.7,430.81,428.98,427.2,425.47,423.79,422.17,420.59,419.08,417.61,416.2,414.85,413.55,412.31,411.13,410.0,408.93,407.92,406.97,406.08,405.25,404.47,403.76,403.11,402.52,402.0,401.53,401.12,400.78,400.5,400.28,400.12,400.03,400.0,400.03,400.12,400.28,400.5,400.78,401.12,401.53,402.0,402.52,403.11,403.76,404.47,405.25,406.08,406.97,407.92,408.93,410.0,411.13,412.31,413.55,414.85,416.2,417.61,419.08,420.59,422.17,423.79,425.47,427.2,428.98,430.81,432.7,434.63,436.61,438.63,440.71,442.83,445.0,447.21,449.47,451.77,454.12,456.51,458.94,461.41,463.92,466.48,469.07,471.7,474.37,477.07,479.82,482.6,485.41,488.26,491.15,494.06,497.02,500.0
camera2,811.53,806.63,801.72,796.82,791.92,787.02,782.13,777.23,772.33,767.44,762.55,757.66,752.77,747.88,742.99,738.11,733.23,728.34,723.46,718.59,713.71,708.83,703.96,699.09,694.22,689.35,684.49,679.62,674.76,669.9,665.04,660.19,655.33,650.48,645.63,640.78,635.94,631.1,626.26,621.42,616.59,611.76,606.93,602.1,597.28,592.46,587.64,582.83,578.01,573.21,568.4,563.6,558.8,554.01,549.22,544.43,539.65,534.87,530.09,525.32,520.56,515.8,511.04,506.29,501.54,496.79,492.06,487.32,482.6,477.88,473.16,468.45,463.75,459.05,454.36,449.67,444.99,440.32,435.66,431.0,426.36,421.72,417.09,412.46,407.85,403.24,398.65,394.06,389.49,384.92,380.37,375.83,371.3,366.78,362.27,357.78,353.3,348.83,344.38,339.95,335.53
camera3,330.4,326.31,322.25,318.21,314.2,310.22,306.27,302.35,298.47,294.61,290.8,287.01,283.27,279.57,275.9,272.28,268.7,265.17,261.69,258.26,254.88,251.55,248.28,245.07,241.91,238.82,235.8,232.85,229.96,227.15,224.41,221.76,219.18,216.7,214.29,211.98,209.77,207.65,205.63,203.71,201.9,200.19,198.6,197.12,195.76,194.52,193.4,192.4,191.53,190.78,190.16,189.68,189.32,189.1,189.0,189.04,189.21,189.52,189.95,190.52,191.21,192.03,192.98,194.05,195.25,196.56,197.99,199.54,201.2,202.97,204.85,206.83,208.91,211.09,213.36,215.72,218.18,220.72,223.34,226.05,228.83,231.68,234.61,237.61,240.67,243.8,246.99,250.23,253.54,256.9,260.31,263.77,267.29,270.84,274.45,278.1,281.78,285.51,289.28,293.08,296.92
