frameID,d0,d1,d2,d3
0,100.0,447.21,794.93,415.12
1,105.0,445.0,789.98,410.33
2,110.0,442.83,785.03,405.55
3,115.0,440.71,780.08,400.77
4,120.0,438.63,775.13,395.99
5,125.0,436.61,770.19,391.22
6,130.0,434.63,765.24,386.46
7,135.0,432.7,760.29,381.7
8,140.0,430.81,755.35,376.95
9,145.0,428.98,750.41,372.2
10,150.0,427.2,745.46,367.46
11,155.0,425.47,740.52,362.73
12,160.0,423.79,735.58,358.01
13,165.0,422.17,730.64,353.29
14,170.0,420.59,725.69,348.58
15,175.0,419.08,720.76,343.88
16,180.0,417.61,715.82,339.19
17,185.0,416.2,710.88,334.5
18,190.0,414.85,705.94,329.83
19,195.0,413.55,701.01,325.17
20,200.0,412.31,696.07,320.51
21,205.0,411.13,691.14,315.87
22,210.0,410.0,686.2,311.24
23,215.0,408.93,681.27,306.62
24,220.0,407.92,676.34,302.01
25,225.0,406.97,671.41,297.41
26,230.0,406.08,666.48,292.83
27,235.0,405.25,661.55,288.26
28,240.0,404.47,656.62,283.7
29,245.0,403.76,651.7,279.16
30,250.0,403.11,646.77,274.64
31,255.0,402.52,641.85,270.14
32,260.0,402.0,636.92,265.65
33,265.0,401.53,632.0,261.18
34,270.0,401.12,627.08,256.73
35,275.0,400.78,622.16,252.3
36,280.0,400.5,617.25,247.89
37,285.0,400.28,612.33,243.5
38,290.0,400.12,607.42,239.14
39,295.0,400.03,602.5,234.8
40,300.0,400.0,597.59,230.5
41,305.0,400.03,592.68,226.21
42,310.0,400.12,587.77,221.96
43,315.0,400.28,582.86,217.75
44,320.0,400.5,577.96,213.56
45,325.0,400.78,573.05,209.41
46,330.0,401.12,568.15,205.3
47,335.0,401.53,563.25,201.23
48,340.0,402.0,558.35,197.2
49,345.0,402.52,553.45,193.22
50,350.0,403.11,548.56,189.28
51,355.0,403.76,543.66,185.4
52,360.0,404.47,538.77,181.57
53,365.0,405.25,533.88,177.8
54,370.0,406.08,528.99,174.09
55,375.0,406.97,524.11,170.45
56,380.0,407.92,519.22,166.88
57,385.0,408.93,514.34,163.38
58,390.0,410.0,509.46,159.96
59,395.0,411.13,504.59,156.63
60,400.0,412.31,499.71,153.39
61,405.0,413.55,494.84,150.24
62,410.0,414.85,489.97,147.2
63,415.0,416.2,485.11,144.27
64,420.0,417.61,480.24,141.45
65,425.0,419.08,475.38,138.76
66,430.0,420.59,470.52,136.19
67,435.0,422.17,465.67,133.76
68,440.0,423.79,460.82,131.48
69,445.0,425.47,455.97,129.36
70,450.0,427.2,451.12,127.39
71,455.0,428.98,446.28,125.59
72,460.0,430.81,441.44,123.97
73,465.0,432.7,436.61,122.53
74,470.0,434.63,431.78,121.28
75,475.0,436.61,426.95,120.22
76,480.0,438.63,422.13,119.36
77,485.0,440.71,417.31,118.71
78,490.0,442.83,412.5,118.27
79,495.0,445.0,407.69,118.04
80,500.0,447.21,402.88,118.02
81,505.0,449.47,398.08,118.21
82,510.0,451.77,393.28,118.61
83,515.0,454.12,388.49,119.22
84,520.0,456.51,383.71,120.03
85,525.0,458.94,378.93,121.05
86,530.0,461.41,374.16,122.26
87,535.0,463.92,369.39,123.66
88,540.0,466.48,364.63,125.25
89,545.0,469.07,359.87,127.02
90,550.0,471.7,355.12,128.95
91,555.0,474.37,350.38,131.05
92,560.0,477.07,345.65,133.3
93,565.0,479.82,340.92,135.69
94,570.0,482.6,336.2,138.23
95,575.0,485.41,331.49,140.9
96,580.0,488.26,326.79,143.69
97,585.0,491.15,322.1,146.6
98,590.0,494.06,317.42,149.63
99,595.0,497.02,312.74,152.75
100,600.0,500.0,308.08,155.97
