camera,frame0,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60,frame61,frame62,frame63,frame64,frame65,frame66,frame67,frame68,frame69,frame70,frame71,frame72,frame73,frame74,frame75,frame76,frame77,frame78,frame79,frame80,frame81,frame82,frame83,frame84,frame85,frame86,frame87,frame88,frame89,frame90,frame91,frame92,frame93,frame94,frame95,frame96,frame97,frame98,frame99,frame100
camera0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0,150.0,155.0,160.0,165.0,170.0,175.0,180.0,185.0,190.0,195.0,200.0,205.0,210.0,215.0,220.0,225.0,230.0,235.0,240.0,245.0,250.0,255.0,260.0,265.0,270.0,275.0,280.0,285.0,290.0,295.0,300.0,305.0,310.0,315.0,320.0,325.0,330.0,335.0,340.0,345.0,350.0,355.0,360.0,365.0,370.0,375.0,380.0,385.0,390.0,395.0,400.0,405.0,410.0,415.0,420.0,425.0,430.0,435.0,440.0,445.0,450.0,455.0,460.0,465.0,470.0,475.0,480.0,485.0,490.0,495.0,500.0,505.0,510.0,515.0,520.0,525.0,530.0,535.0,540.0,545.0,550.0,555.0,560.0,565.0,570.0,575.0,580.0,585.0,590.0,595.0,600.0
camera1,447.21,445.0,442.83,440.71,438.63,436.61,434.63,432.7,430.81,428.98,427.2,425.47,423.79,422.17,420.59,419.08,417.61,416.2,414.85,413.55,412.31,411.13,410.0,408.93,407.92,406.97,406.08,405.25,404.47,403.76,403.11,402.52,402.0,401.53,401.12,400.78,400.5,400.28,400.12,400.03,400.0,400.03,400.12,400.28,400.5,400.78,401.12,401.53,402.0,402.52,403.11,403.76,404.47,405.25,406.08,406.97,407.92,408.93,410.0,411.13,412.31,413.55,414.85,416.2,417.61,419.08,420.59,422.17,423.79,425.47,427.2,428.98,430.81,432.7,434.63,436.61,438.63,440.71,442.83,445.0,447.21,449.47,451.77,454.12,456.51,458.94,461.41,463.92,466.48,469.07,471.7,474.37,477.07,479.82,482.6,485.41,488.26,491.15,494.06,497.02,500.0
camera2,794.93,789.98,785.03,780.08,775.13,770.19,765.24,760.29,755.35,750.41,745.46,740.52,735.58,730.64,725.69,720.76,715.82,710.88,705.94,701.01,696.07,691.14,686.2,681.27,676.34,671.41,666.48,661.55,656.62,651.7,646.77,641.85,636.92,632.0,627.08,622.16,617.25,612.33,607.42,602.5,597.59,592.68,587.77,582.86,577.96,573.05,568.15,563.25,558.35,553.45,548.56,543.66,538.77,533.88,528.99,524.11,519.22,514.34,509.46,504.59,499.71,494.84,489.97,485.11,480.24,475.38,470.52,465.67,460.82,455.97,451.12,446.28,441.44,436.61,431.78,426.95,422.13,417.31,412.5,407.69,402.88,398.08,393.28,388.49,383.71,378.93,374.16,369.39,364.63,359.87,355.12,350.38,345.65,340.92,336.2,331.49,326.79,322.1,317.42,312.74,308.08
camera3,415.12,410.33,405.55,400.77,395.99,391.22,386.46,381.7,376.95,372.2,367.46,362.73,358.01,353.29,348.58,343.88,339.19,334.5,329.83,325.17,320.51,315.87,311.24,306.62,302.01,297.41,292.83,288.26,283.7,279.16,274.64,270.14,265.65,261.18,256.73,252.3,247.89,243.5,239.14,234.8,230.5,226.21,221.96,217.75,213.56,209.41,205.3,201.23,197.2,193.22,189.28,185.4,181.57,177.8,174.09,170.45,166.88,163.38,159.96,156.63,153.39,150.24,147.2,144.27,141.45,138.76,136.19,133.76,131.48,129.36,127.39,125.59,123.97,122.53,121.28,120.22,119.36,118.71,118.27,118.04,118.02,118.21,118.61,119.22,120.03,121.05,122.26,123.66,125.25,127.02,128.95,131.05,133.3,135.69,138.23,140.9,143.69,146.6,149.63,152.75,155.97
