frameID,d0,d1,d2,d3
0,100.0,447.21,751.9,436.94
1,105.0,445.0,746.92,432.73
2,110.0,442.83,741.94,428.53
3,115.0,440.71,736.96,424.35
4,120.0,438.63,731.98,420.19
5,125.0,436.61,727.0,416.04
6,130.0,434.63,722.02,411.92
7,135.0,432.7,717.04,407.81
8,140.0,430.81,712.07,403.73
9,145.0,428.98,707.09,399.66
10,150.0,427.2,702.11,395.62
11,155.0,425.47,697.13,391.6
12,160.0,423.79,692.15,387.6
13,165.0,422.17,687.18,383.63
14,170.0,420.59,682.2,379.68
15,175.0,419.08,677.22,375.76
16,180.0,417.61,672.25,371.86
17,185.0,416.2,667.27,367.98
18,190.0,414.85,662.3,364.14
19,195.0,413.55,657.32,360.32
20,200.0,412.31,652.35,356.53
21,205.0,411.13,647.37,352.78
22,210.0,410.0,642.4,349.05
23,215.0,408.93,637.43,345.36
24,220.0,407.92,632.45,341.7
25,225.0,406.97,627.48,338.07
26,230.0,406.08,622.51,334.48
27,235.0,405.25,617.54,330.93
28,240.0,404.47,612.57,327.41
29,245.0,403.76,607.6,323.93
30,250.0,403.11,602.63,320.49
31,255.0,402.52,597.66,317.1
32,260.0,402.0,592.69,313.75
33,265.0,401.53,587.72,310.44
34,270.0,401.12,582.75,307.18
35,275.0,400.78,577.78,303.96
36,280.0,400.5,572.82,300.79
37,285.0,400.28,567.85,297.68
38,290.0,400.12,562.88,294.61
39,295.0,400.03,557.92,291.6
40,300.0,400.0,552.95,288.65
41,305.0,400.03,547.99,285.75
42,310.0,400.12,543.03,282.91
43,315.0,400.28,538.06,280.13
44,320.0,400.5,533.1,277.41
45,325.0,400.78,528.14,274.76
46,330.0,401.12,523.18,272.17
47,335.0,401.53,518.22,269.65
48,340.0,402.0,513.26,267.2
49,345.0,402.52,508.3,264.82
50,350.0,403.11,503.35,262.52
51,355.0,403.76,498.39,260.29
52,360.0,404.47,493.43,258.14
53,365.0,405.25,488.48,256.07
54,370.0,406.08,483.53,254.08
55,375.0,406.97,478.57,252.17
56,380.0,407.92,473.62,250.35
57,385.0,408.93,468.67,248.62
58,390.0,410.0,463.72,246.98
59,395.0,411.13,458.77,245.42
60,400.0,412.31,453.82,243.96
61,405.0,413.55,448.88,242.59
62,410.0,414.85,443.93,241.32
63,415.0,416.2,438.99,240.15
64,420.0,417.61,434.05,239.08
65,425.0,419.08,429.11,238.1
66,430.0,420.59,424.17,237.23
67,435.0,422.17,419.23,236.46
68,440.0,423.79,414.29,235.79
69,445.0,425.47,409.36,235.23
70,450.0,427.2,404.42,234.77
71,455.0,428.98,399.49,234.42
72,460.0,430.81,394.56,234.17
73,465.0,432.7,389.63,234.03
74,470.0,434.63,384.7,234.0
75,475.0,436.61,379.78,234.08
76,480.0,438.63,374.86,234.26
77,485.0,440.71,369.94,234.55
78,490.0,442.83,365.02,234.94
79,495.0,445.0,360.1,235.44
80,500.0,447.21,355.19,236.04
81,505.0,449.47,350.27,236.75
82,510.0,451.77,345.37,237.56
83,515.0,454.12,340.46,238.48
84,520.0,456.51,335.55,239.49
85,525.0,458.94,330.65,240.61
86,530.0,461.41,325.76,241.82
87,535.0,463.92,320.86,243.13
88,540.0,466.48,315.97,244.53
89,545.0,469.07,311.08,246.03
90,550.0,471.7,306.2,247.62
91,555.0,474.37,301.32,249.3
92,560.0,477.07,296.44,251.07
93,565.0,479.82,291.57,252.93
94,570.0,482.6,286.7,254.87
95,575.0,485.41,281.84,256.89
96,580.0,488.26,276.98,258.99
97,585.0,491.15,272.12,261.17
98,590.0,494.06,267.28,263.43
99,595.0,497.02,262.43,265.77
100,600.0,500.0,257.6,268.17
