camera,frame0,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60
camera0,139.63,147.63,155.87,164.3,172.9,181.65,190.52,199.49,208.56,217.71,226.93,236.21,245.55,254.94,264.38,273.85,283.37,292.91,302.48,312.08,321.71,331.35,341.02,350.71,360.41,370.13,379.86,389.61,399.37,409.14,418.92,428.71,438.52,448.33,458.14,467.97,477.8,487.64,497.49,507.34,517.2,527.06,536.93,546.81,556.68,566.57,576.45,586.34,596.23,606.13,616.03,625.94,635.84,645.75,655.66,665.58,675.5,685.42,695.34,705.26,715.19
camera1,509.9,500.1,490.31,480.52,470.74,460.98,451.22,441.47,431.74,422.02,412.31,402.62,392.94,383.28,373.63,364.01,354.4,344.82,335.26,325.73,316.23,306.76,297.32,287.92,278.57,269.26,260.0,250.8,241.66,232.59,223.61,214.71,205.91,197.23,188.68,180.28,172.05,164.01,156.2,148.66,141.42,134.54,128.06,122.07,116.62,111.8,107.7,104.4,101.98,100.5,100.0,100.5,101.98,104.4,107.7,111.8,116.62,122.07,128.06,134.54,141.42
camera2,700.0,690.0,680.0,670.0,660.0,650.0,640.0,630.0,620.0,610.0,600.0,590.0,580.0,570.0,560.0,550.0,540.0,530.0,520.0,510.0,500.0,490.0,480.0,470.0,460.0,450.0,440.0,430.0,420.0,410.0,400.0,390.0,380.0,370.0,360.0,350.0,340.0,330.0,320.0,310.0,300.0,290.0,280.0,270.0,260.0,250.0,240.0,230.0,220.0,210.0,200.0,190.0,180.0,170.0,160.0,150.0,140.0,130.0,120.0,110.0,100.0
camera3,500.0,494.06,488.26,482.6,477.07,471.7,466.48,461.41,456.51,451.77,447.21,442.83,438.63,434.63,430.81,427.2,423.79,420.59,417.61,414.85,412.31,410.0,407.92,406.08,404.47,403.11,402.0,401.12,400.5,400.12,400.0,400.12,400.5,401.12,402.0,403.11,404.47,406.08,407.92,410.0,412.31,414.85,417.61,420.59,423.79,427.2,430.81,434.63,438.63,442.83,447.21,451.77,456.51,461.41,466.48,471.7,477.07,482.6,488.26,494.06,500.0
