frameID,d0,d1,d2,d3
0,282.84,316.23,700.0,500.0
1,290.0,313.21,690.0,494.06
2,297.32,310.48,680.0,488.26
3,304.8,308.06,670.0,482.6
4,312.41,305.94,660.0,477.07
5,320.16,304.14,650.0,471.7
6,328.02,302.65,640.0,466.48
7,336.01,301.5,630.0,461.41
8,344.09,300.67,620.0,456.51
9,352.28,300.17,610.0,451.77
10,360.56,300.0,600.0,447.21
11,368.92,300.17,590.0,442.83
12,377.36,300.67,580.0,438.63
13,385.88,301.5,570.0,434.63
14,394.46,302.65,560.0,430.81
15,403.11,304.14,550.0,427.2
16,411.83,305.94,540.0,423.79
17,420.59,308.06,530.0,420.59
18,429.42,310.48,520.0,417.61
19,438.29,313.21,510.0,414.85
20,447.21,316.23,500.0,412.31
21,456.18,319.53,490.0,410.0
22,465.19,323.11,480.0,407.92
23,474.24,326.96,470.0,406.08
24,483.32,331.06,460.0,404.47
25,492.44,335.41,450.0,403.11
26,501.6,340.0,440.0,402.0
27,510.78,344.82,430.0,401.12
28,520.0,349.86,420.0,400.5
29,529.24,355.11,410.0,400.12
30,538.52,360.56,400.0,400.0
31,547.81,366.2,390.0,400.12
32,557.14,372.02,380.0,400.5
33,566.48,378.02,370.0,401.12
34,575.85,384.19,360.0,402.0
35,585.24,390.51,350.0,403.11
36,594.64,396.99,340.0,404.47
37,604.07,403.61,330.0,406.08
38,613.51,410.37,320.0,407.92
39,622.98,417.25,310.0,410.0
40,632.46,424.26,300.0,412.31
41,641.95,431.39,290.0,414.85
42,651.46,438.63,280.0,417.61
43,660.98,445.98,270.0,420.59
44,670.52,453.43,260.0,423.79
45,680.07,460.98,250.0,427.2
46,689.64,468.62,240.0,430.81
47,699.21,476.34,230.0,434.63
48,708.8,484.15,220.0,438.63
49,718.4,492.04,210.0,442.83
50,728.01,500.0,200.0,447.21
51,737.63,508.04,190.0,451.77
52,747.26,516.14,180.0,456.51
53,756.9,524.31,170.0,461.41
54,766.55,532.54,160.0,466.48
55,776.21,540.83,150.0,471.7
56,785.88,549.18,140.0,477.07
57,795.55,557.58,130.0,482.6
58,805.23,566.04,120.0,488.26
59,814.92,574.54,110.0,494.06
60,824.62,583.1,100.0,500.0
