camera,frame0,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60
camera0,282.84,290.0,297.32,304.8,312.41,320.16,328.02,336.01,344.09,352.28,360.56,368.92,377.36,385.88,394.46,403.11,411.83,420.59,429.42,438.29,447.21,456.18,465.19,474.24,483.32,492.44,501.6,510.78,520.0,529.24,538.52,547.81,557.14,566.48,575.85,585.24,594.64,604.07,613.51,622.98,632.46,641.95,651.46,660.98,670.52,680.07,689.64,699.21,708.8,718.4,728.01,737.63,747.26,756.9,766.55,776.21,785.88,795.55,805.23,814.92,824.62
camera1,316.23,313.21,310.48,308.06,305.94,304.14,302.65,301.5,300.67,300.17,300.0,300.17,300.67,301.5,302.65,304.14,305.94,308.06,310.48,313.21,316.23,319.53,323.11,326.96,331.06,335.41,340.0,344.82,349.86,355.11,360.56,366.2,372.02,378.02,384.19,390.51,396.99,403.61,410.37,417.25,424.26,431.39,438.63,445.98,453.43,460.98,468.62,476.34,484.15,492.04,500.0,508.04,516.14,524.31,532.54,540.83,549.18,557.58,566.04,574.54,583.1
camera2,700.0,690.0,680.0,670.0,660.0,650.0,640.0,630.0,620.0,610.0,600.0,590.0,580.0,570.0,560.0,550.0,540.0,530.0,520.0,510.0,500.0,490.0,480.0,470.0,460.0,450.0,440.0,430.0,420.0,410.0,400.0,390.0,380.0,370.0,360.0,350.0,340.0,330.0,320.0,310.0,300.0,290.0,280.0,270.0,260.0,250.0,240.0,230.0,220.0,210.0,200.0,190.0,180.0,170.0,160.0,150.0,140.0,130.0,120.0,110.0,100.0
camera3,500.0,494.06,488.26,482.6,477.07,471.7,466.48,461.41,456.51,451.77,447.21,442.83,438.63,434.63,430.81,427.2,423.79,420.59,417.61,414.85,412.31,410.0,407.92,406.08,404.47,403.11,402.0,401.12,400.5,400.12,400.0,400.12,400.5,401.12,402.0,403.11,404.47,406.08,407.92,410.0,412.31,414.85,417.61,420.59,423.79,427.2,430.81,434.63,438.63,442.83,447.21,451.77,456.51,461.41,466.48,471.7,477.07,482.6,488.26,494.06,500.0
