frameID,d0,d1,d2,d3
0,100.0,447.21,800.43,566.06
1,105.0,445.0,795.51,562.11
2,110.0,442.83,790.6,558.18
3,115.0,440.71,785.68,554.26
4,120.0,438.63,780.77,550.36
5,125.0,436.61,775.86,546.48
6,130.0,434.63,770.95,542.62
7,135.0,432.7,766.04,538.78
8,140.0,430.81,761.13,534.96
9,145.0,428.98,756.23,531.15
10,150.0,427.2,751.32,527.37
11,155.0,425.47,746.42,523.61
12,160.0,423.79,741.52,519.87
13,165.0,422.17,736.61,516.14
14,170.0,420.59,731.71,512.45
15,175.0,419.08,726.81,508.77
16,180.0,417.61,721.92,505.11
17,185.0,416.2,717.02,501.48
18,190.0,414.85,712.13,497.88
19,195.0,413.55,707.23,494.29
20,200.0,412.31,702.34,490.73
21,205.0,411.13,697.45,487.2
22,210.0,410.0,692.56,483.69
23,215.0,408.93,687.68,480.21
24,220.0,407.92,682.79,476.76
25,225.0,406.97,677.91,473.33
26,230.0,406.08,673.03,469.94
27,235.0,405.25,668.15,466.57
28,240.0,404.47,663.27,463.23
29,245.0,403.76,658.39,459.92
30,250.0,403.11,653.52,456.64
31,255.0,402.52,648.64,453.39
32,260.0,402.0,643.77,450.18
33,265.0,401.53,638.91,447.0
34,270.0,401.12,634.04,443.85
35,275.0,400.78,629.17,440.73
36,280.0,400.5,624.31,437.65
37,285.0,400.28,619.45,434.61
38,290.0,400.12,614.59,431.6
39,295.0,400.03,609.74,428.63
40,300.0,400.0,604.88,425.7
41,305.0,400.03,600.03,422.81
42,310.0,400.12,595.18,419.95
43,315.0,400.28,590.34,417.14
44,320.0,400.5,585.5,414.37
45,325.0,400.78,580.65,411.64
46,330.0,401.12,575.82,408.95
47,335.0,401.53,570.98,406.31
48,340.0,402.0,566.15,403.71
49,345.0,402.52,561.32,401.15
50,350.0,403.11,556.49,398.65
51,355.0,403.76,551.67,396.19
52,360.0,404.47,546.85,393.78
53,365.0,405.25,542.03,391.41
54,370.0,406.08,537.22,389.1
55,375.0,406.97,532.41,386.84
56,380.0,407.92,527.6,384.63
57,385.0,408.93,522.8,382.47
58,390.0,410.0,518.0,380.37
59,395.0,411.13,513.21,378.32
60,400.0,412.31,508.41,376.32
61,405.0,413.55,503.63,374.39
62,410.0,414.85,498.84,372.51
63,415.0,416.2,494.06,370.68
64,420.0,417.61,489.29,368.92
65,425.0,419.08,484.52,367.21
66,430.0,420.59,479.76,365.57
67,435.0,422.17,474.99,363.98
68,440.0,423.79,470.24,362.46
69,445.0,425.47,465.49,361.01
70,450.0,427.2,460.74,359.61
71,455.0,428.98,456.0,358.28
72,460.0,430.81,451.27,357.02
73,465.0,432.7,446.54,355.82
74,470.0,434.63,441.82,354.68
75,475.0,436.61,437.1,353.62
76,480.0,438.63,432.39,352.62
77,485.0,440.71,427.69,351.69
78,490.0,442.83,423.0,350.83
79,495.0,445.0,418.31,350.04
80,500.0,447.21,413.62,349.31
81,505.0,449.47,408.95,348.66
82,510.0,451.77,404.28,348.08
83,515.0,454.12,399.62,347.57
84,520.0,456.51,394.97,347.13
85,525.0,458.94,390.33,346.76
86,530.0,461.41,385.7,346.47
87,535.0,463.92,381.08,346.24
88,540.0,466.48,376.46,346.09
89,545.0,469.07,371.86,346.01
90,550.0,471.7,367.27,346.01
91,555.0,474.37,362.68,346.07
92,560.0,477.07,358.11,346.21
93,565.0,479.82,353.55,346.42
94,570.0,482.6,349.01,346.7
95,575.0,485.41,344.47,347.05
96,580.0,488.26,339.95,347.48
97,585.0,491.15,335.44,347.97
98,590.0,494.06,330.95,348.54
99,595.0,497.02,326.47,349.18
100,600.0,500.0,322.0,349.89
