camera,frame0,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60,frame61,frame62,frame63,frame64,frame65,frame66,frame67,frame68,frame69,frame70,frame71,frame72,frame73,frame74,frame75,frame76,frame77,frame78,frame79,frame80,frame81,frame82,frame83,frame84,frame85,frame86,frame87,frame88,frame89,frame90,frame91,frame92,frame93,frame94,frame95,frame96,frame97,frame98,frame99,frame100
camera0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0,150.0,155.0,160.0,165.0,170.0,175.0,180.0,185.0,190.0,195.0,200.0,205.0,210.0,215.0,220.0,225.0,230.0,235.0,240.0,245.0,250.0,255.0,260.0,265.0,270.0,275.0,280.0,285.0,290.0,295.0,300.0,305.0,310.0,315.0,320.0,325.0,330.0,335.0,340.0,345.0,350.0,355.0,360.0,365.0,370.0,375.0,380.0,385.0,390.0,395.0,400.0,405.0,410.0,415.0,420.0,425.0,430.0,435.0,440.0,445.0,450.0,455.0,460.0,465.0,470.0,475.0,480.0,485.0,490.0,495.0,500.0,505.0,510.0,515.0,520.0,525.0,530.0,535.0,540.0,545.0,550.0,555.0,560.0,565.0,570.0,575.0,580.0,585.0,590.0,595.0,600.0
camera1,447.21,445.0,442.83,440.71,438.63,436.61,434.63,432.7,430.81,428.98,427.2,425.47,423.79,422.17,420.59,419.08,417.61,416.2,414.85,413.55,412.31,411.13,410.0,408.93,407.92,406.97,406.08,405.25,404.47,403.76,403.11,402.52,402.0,401.53,401.12,400.78,400.5,400.28,400.12,400.03,400.0,400.03,400.12,400.28,400.5,400.78,401.12,401.53,402.0,402.52,403.11,403.76,404.47,405.25,406.08,406.97,407.92,408.93,410.0,411.13,412.31,413.55,414.85,416.2,417.61,419.08,420.59,422.17,423.79,425.47,427.2,428.98,430.81,432.7,434.63,436.61,438.63,440.71,442.83,445.0,447.21,449.47,451.77,454.12,456.51,458.94,461.41,463.92,466.48,469.07,471.7,474.37,477.07,479.82,482.6,485.41,488.26,491.15,494.06,497.02,500.0
camera2,808.7,804.06,799.43,794.79,790.17,785.54,780.92,776.31,771.7,767.1,762.5,757.9,753.31,748.73,744.15,739.58,735.01,730.45,725.89,721.34,716.8,712.26,707.73,703.2,698.69,694.17,689.67,685.17,680.68,676.19,671.72,667.25,662.78,658.33,653.88,649.44,645.01,640.59,636.18,631.77,627.38,622.99,618.61,614.24,609.89,605.54,601.2,596.87,592.55,588.25,583.95,579.67,575.4,571.14,566.89,562.65,558.43,554.22,550.02,545.84,541.67,537.51,533.37,529.24,525.13,521.03,516.95,512.89,508.84,504.81,500.8,496.81,492.83,488.87,484.93,481.02,477.12,473.24,469.38,465.55,461.74,457.95,454.18,450.44,446.72,443.03,439.36,435.72,432.11,428.53,424.97,421.45,417.95,414.48,411.05,407.65,404.28,400.94,397.64,394.38,391.15
camera3,477.62,474.24,470.88,467.55,464.25,460.98,457.74,454.53,451.36,448.22,445.11,442.04,439.0,436.0,433.04,430.12,427.23,424.38,421.57,418.81,416.08,413.4,410.76,408.17,405.62,403.11,400.66,398.25,395.89,393.57,391.31,389.1,386.94,384.84,382.79,380.79,378.85,376.96,375.13,373.36,371.65,370.0,368.41,366.88,365.41,364.01,362.66,361.39,360.17,359.03,357.95,356.93,355.98,355.11,354.3,353.55,352.88,352.28,351.75,351.28,350.89,350.57,350.32,350.14,350.04,350.0,350.04,350.14,350.32,350.57,350.89,351.28,351.75,352.28,352.88,353.55,354.3,355.11,355.98,356.93,357.95,359.03,360.17,361.39,362.66,364.01,365.41,366.88,368.41,370.0,371.65,373.36,375.13,376.96,378.85,380.79,382.79,384.84,386.94,389.1,391.31
