frameID,d0,d1,d2,d3
0,100.0,447.21,808.7,477.62
1,105.0,445.0,804.06,474.24
2,110.0,442.83,799.43,470.88
3,115.0,440.71,794.79,467.55
4,120.0,438.63,790.17,464.25
5,125.0,436.61,785.54,460.98
6,130.0,434.63,780.92,457.74
7,135.0,432.7,776.31,454.53
8,140.0,430.81,771.7,451.36
9,145.0,428.98,767.1,448.22
10,150.0,427.2,762.5,445.11
11,155.0,425.47,757.9,442.04
12,160.0,423.79,753.31,439.0
13,165.0,422.17,748.73,436.0
14,170.0,420.59,744.15,433.04
15,175.0,419.08,739.58,430.12
16,180.0,417.61,735.01,427.23
17,185.0,416.2,730.45,424.38
18,190.0,414.85,725.89,421.57
19,195.0,413.55,721.34,418.81
20,200.0,412.31,716.8,416.08
21,205.0,411.13,712.26,413.4
22,210.0,410.0,707.73,410.76
23,215.0,408.93,703.2,408.17
24,220.0,407.92,698.69,405.62
25,225.0,406.97,694.17,403.11
26,230.0,406.08,689.67,400.66
27,235.0,405.25,685.17,398.25
28,240.0,404.47,680.68,395.89
29,245.0,403.76,676.19,393.57
30,250.0,403.11,671.72,391.31
31,255.0,402.52,667.25,389.1
32,260.0,402.0,662.78,386.94
33,265.0,401.53,658.33,384.84
34,270.0,401.12,653.88,382.79
35,275.0,400.78,649.44,380.79
36,280.0,400.5,645.01,378.85
37,285.0,400.28,640.59,376.96
38,290.0,400.12,636.18,375.13
39,295.0,400.03,631.77,373.36
40,300.0,400.0,627.38,371.65
41,305.0,400.03,622.99,370.0
42,310.0,400.12,618.61,368.41
43,315.0,400.28,614.24,366.88
44,320.0,400.5,609.89,365.41
45,325.0,400.78,605.54,364.01
46,330.0,401.12,601.2,362.66
47,335.0,401.53,596.87,361.39
48,340.0,402.0,592.55,360.17
49,345.0,402.52,588.25,359.03
50,350.0,403.11,583.95,357.95
51,355.0,403.76,579.67,356.93
52,360.0,404.47,575.4,355.98
53,365.0,405.25,571.14,355.11
54,370.0,406.08,566.89,354.3
55,375.0,406.97,562.65,353.55
56,380.0,407.92,558.43,352.88
57,385.0,408.93,554.22,352.28
58,390.0,410.0,550.02,351.75
59,395.0,411.13,545.84,351.28
60,400.0,412.31,541.67,350.89
61,405.0,413.55,537.51,350.57
62,410.0,414.85,533.37,350.32
63,415.0,416.2,529.24,350.14
64,420.0,417.61,525.13,350.04
65,425.0,419.08,521.03,350.0
66,430.0,420.59,516.95,350.04
67,435.0,422.17,512.89,350.14
68,440.0,423.79,508.84,350.32
69,445.0,425.47,504.81,350.57
70,450.0,427.2,500.8,350.89
71,455.0,428.98,496.81,351.28
72,460.0,430.81,492.83,351.75
73,465.0,432.7,488.87,352.28
74,470.0,434.63,484.93,352.88
75,475.0,436.61,481.02,353.55
76,480.0,438.63,477.12,354.3
77,485.0,440.71,473.24,355.11
78,490.0,442.83,469.38,355.98
79,495.0,445.0,465.55,356.93
80,500.0,447.21,461.74,357.95
81,505.0,449.47,457.95,359.03
82,510.0,451.77,454.18,360.17
83,515.0,454.12,450.44,361.39
84,520.0,456.51,446.72,362.66
85,525.0,458.94,443.03,364.01
86,530.0,461.41,439.36,365.41
87,535.0,463.92,435.72,366.88
88,540.0,466.48,432.11,368.41
89,545.0,469.07,428.53,370.0
90,550.0,471.7,424.97,371.65
91,555.0,474.37,421.45,373.36
92,560.0,477.07,417.95,375.13
93,565.0,479.82,414.48,376.96
94,570.0,482.6,411.05,378.85
95,575.0,485.41,407.65,380.79
96,580.0,488.26,404.28,382.79
97,585.0,491.15,400.94,384.84
98,590.0,494.06,397.64,386.94
99,595.0,497.02,394.38,389.1
100,600.0,500.0,391.15,391.31
