camera,frame0,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60,frame61,frame62,frame63,frame64,frame65,frame66,frame67,frame68,frame69,frame70,frame71,frame72,frame73,frame74,frame75,frame76,frame77,frame78,frame79,frame80,frame81,frame82,frame83,frame84,frame85,frame86,frame87,frame88,frame89,frame90,frame91,frame92,frame93,frame94,frame95,frame96,frame97,frame98,frame99,frame100,frame101,frame102,frame103,frame104,frame105,frame106,frame107,frame108,frame109,frame110,frame111,frame112,frame113,frame114,frame115,frame116,frame117,frame118,frame119,frame120,frame121,frame122,frame123,frame124,frame125,frame126,frame127,frame128,frame129,frame130,frame131,frame132,frame133,frame134,frame135,frame136,frame137,frame138,frame139,frame140,frame141,frame142,frame143,frame144,frame145,frame146,frame147,frame148,frame149,frame150
camera0,192.01,196.01,200.01,204.01,208.01,212.01,216.01,220.01,224.01,228.01,232.01,236.01,240.01,244.01,248.01,252.01,256.01,260.01,264.01,268.01,272.01,276.01,280.01,284.01,288.01,292.01,296.01,300.01,304.01,308.01,312.01,316.01,320.01,324.01,328.01,332.01,336.01,340.01,344.01,348.01,352.01,356.01,360.01,364.01,368.01,372.01,376.01,380.01,384.01,388.01,392.01,396.01,400.01,404.0,408.0,412.0,416.0,420.0,424.0,428.0,432.0,436.0,440.0,444.0,448.0,452.0,456.0,460.0,464.0,468.0,472.0,476.0,480.0,484.0,488.0,492.0,496.0,500.0,504.0,508.0,512.0,516.0,520.0,524.0,528.0,532.0,536.0,540.0,544.0,548.0,552.0,556.0,560.0,564.0,568.0,572.0,576.0,580.0,584.0,588.0,592.0,596.0,600.0,604.0,608.0,612.0,616.0,620.0,624.0,628.0,632.0,636.0,640.0,644.0,648.0,652.0,656.0,660.0,664.0,668.0,672.0,676.0,680.0,684.0,688.0,692.0,696.0,700.0,704.0,708.0,712.0,716.0,720.0,724.0,728.0,732.0,736.0,740.0,744.0,748.0,752.0,756.0,760.0,764.0,768.0,772.0,776.0,780.0,784.0,788.0,792.0
camera1,445.98,442.22,438.46,434.7,430.95,427.2,423.46,419.72,415.99,412.26,408.53,404.82,401.1,397.4,393.7,390.0,386.31,382.63,378.95,375.28,371.62,367.96,364.31,360.67,357.04,353.41,349.79,346.18,342.58,338.99,335.41,331.84,328.27,324.72,321.18,317.65,314.13,310.62,307.12,303.64,300.17,296.71,293.26,289.83,286.42,283.02,279.64,276.27,272.92,269.58,266.27,262.98,259.7,256.44,253.21,250.0,246.81,243.65,240.51,237.39,234.31,231.25,228.22,225.22,222.25,219.32,216.42,213.55,210.72,207.93,205.18,202.47,199.81,197.19,194.62,192.09,189.62,187.2,184.84,182.53,180.28,178.09,175.97,173.91,171.92,170.0,168.15,166.39,164.69,163.08,161.55,160.11,158.76,157.49,156.32,155.24,154.26,153.38,152.59,151.91,151.33,150.85,150.48,150.21,150.05,150.0,150.05,150.21,150.48,150.85,151.33,151.91,152.59,153.38,154.26,155.24,156.32,157.49,158.76,160.11,161.55,163.08,164.69,166.39,168.15,170.0,171.92,173.91,175.97,178.09,180.28,182.53,184.84,187.2,189.62,192.09,194.62,197.19,199.81,202.47,205.18,207.93,210.72,213.55,216.42,219.32,222.25,225.22,228.22,231.25,234.31
camera2,700.0,696.0,692.0,688.0,684.0,680.0,676.0,672.0,668.0,664.0,660.0,656.0,652.0,648.0,644.0,640.0,636.0,632.0,628.0,624.0,620.0,616.0,612.0,608.0,604.0,600.0,596.0,592.0,588.0,584.0,580.0,576.0,572.0,568.0,564.0,560.0,556.0,552.0,548.0,544.0,540.0,536.0,532.0,528.0,524.0,520.0,516.0,512.0,508.0,504.0,500.0,496.0,492.0,488.0,484.0,480.0,476.0,472.0,468.0,464.0,460.0,456.0,452.0,448.0,444.0,440.0,436.0,432.0,428.0,424.0,420.0,416.0,412.0,408.0,404.0,400.0,396.0,392.0,388.0,384.0,380.0,376.0,372.0,368.0,364.0,360.0,356.0,352.0,348.0,344.0,340.0,336.0,332.0,328.0,324.0,320.0,316.0,312.0,308.0,304.0,300.0,296.0,292.0,288.0,284.0,280.0,276.0,272.0,268.0,264.0,260.0,256.0,252.0,248.0,244.0,240.0,236.0,232.0,228.0,224.0,220.0,216.0,212.0,208.0,204.0,200.0,196.0,192.0,188.0,184.0,180.0,176.0,172.0,168.0,164.0,160.0,156.0,152.0,148.0,144.0,140.0,136.0,132.0,128.0,124.0,120.0,116.0,112.0,108.0,104.0,100.0
camera3,500.0,497.61,495.24,492.89,490.57,488.26,485.98,483.72,481.48,479.27,477.07,474.91,472.76,470.64,468.55,466.48,464.43,462.41,460.42,458.45,456.51,454.59,452.71,450.85,449.02,447.21,445.44,443.69,441.98,440.29,438.63,437.01,435.41,433.85,432.31,430.81,429.34,427.91,426.5,425.13,423.79,422.49,421.22,419.98,418.78,417.61,416.48,415.38,414.32,413.3,412.31,411.36,410.44,409.57,408.72,407.92,407.16,406.43,405.74,405.09,404.47,403.9,403.37,402.87,402.41,402.0,401.62,401.28,400.98,400.72,400.5,400.32,400.18,400.08,400.02,400.0,400.02,400.08,400.18,400.32,400.5,400.72,400.98,401.28,401.62,402.0,402.41,402.87,403.37,403.9,404.47,405.09,405.74,406.43,407.16,407.92,408.72,409.57,410.44,411.36,412.31,413.3,414.32,415.38,416.48,417.61,418.78,419.98,421.22,422.49,423.79,425.13,426.5,427.91,429.34,430.81,432.31,433.85,435.41,437.01,438.63,440.29,441.98,443.69,445.44,447.21,449.02,450.85,452.71,454.59,456.51,458.45,460.42,462.41,464.43,466.48,468.55,470.64,472.76,474.91,477.07,479.27,481.48,483.72,485.98,488.26,490.57,492.89,495.24,497.61,500.0
